Country,GDP,HDI,Education_Expenditure,Healthcare_Expenditure,Comparative_Abortion_Index,log_GDP,log_HDI,log_Education_Expenditure,log_Healthcare_Expenditure,log_Comparative_Abortion_Index
Bulgaria,7081.10233572915,0.80900002,3.91208434104919,7.3912921,7.0,8.865326082684525,0.59277421746899,1.5916983611064686,2.1271945133891785,2.0794415416798357
Myanmar,1224.562368242804,0.56199998,2.2456042766571,5.47780561,1.0,7.111155093752201,0.4459670386133968,1.1773015505876585,1.8683818125804654,0.6931471805599453
Burundi,289.3596271447688,0.428,6.37133979797363,6.29022646,3.0,5.671120248302194,0.35627486391739266,1.9975994804491333,1.9865346100099555,1.3862943611198906
Belarus,5967.069184800496,0.81199998,4.78750991821289,6.06533289,7.0,8.694178734443831,0.5944311965832599,1.755702133140973,1.9552001332147158,2.0794415416798357
Cambodia,1170.742815783242,0.574,1.7034615278244,6.19431591,7.0,7.066247505598393,0.45362014999521144,0.9945329992316955,1.973291257292327,2.0794415416798357
Cameroon,1399.675335968471,0.56,2.65791988372803,3.59505081,4.0,7.2447097821287745,0.44468582126144574,1.2968946480689139,1.5249798134178967,1.6094379124341003
Canada,43596.13553655462,0.926,4.7393798828125,10.74362469,7.0,10.682746728475996,0.6554453133759338,1.747351170142121,2.463310513766137,2.0794415416798357
Cabo Verde,3169.078915411602,0.66299999,4.80622005462646,4.82334137,7.0,8.061511761013074,0.5086231941975615,1.7589297661288579,1.7618742155570404,2.0794415416798357
Central African Republic (the),351.8797547799045,0.384,1.91022861003876,5.03434181,1.0,5.866127360885721,0.32497785719547784,1.0682316382484907,1.7974667864642564,0.6931471805599453
Sri Lanka,3990.353123388801,0.764,2.10998010635376,3.88992047,1.0,8.291885581061653,0.5675839575845996,1.1346163294998672,1.5871760395508425,0.6931471805599453
Chad,774.4116031468973,0.389,2.3428316116333,4.52395248,3.0,6.653393989203921,0.3285840637722067,1.2068182357335822,1.7090936330480604,1.3862943611198906
Chile,13569.94812747328,0.84600002,4.90390014648438,8.30269146,0.0,9.515686619767182,0.6130211469148965,1.7756131742968106,2.2303037625909385,0.0
China,8016.446015856442,0.73299998,3.81382989883423,4.93827963,7.0,8.989375198255766,0.549853999192788,1.57149300405322,1.7814194668461307,2.0794415416798357
Taiwan (Province of China),,,,,,,,,,
Colombia,6228.651621860958,0.75400001,4.47038984298706,7.52338505,5.0,8.73707569077348,0.5618988996512456,1.6993498831790095,2.1428135682739886,1.791759469228055
Comoros (the),1322.936774600011,0.54400003,2.5450599193573,4.60089922,3.0,7.188364982033473,0.43437647103263605,1.2655550623397782,1.7229271598503182,1.3862943611198906
Congo (the),2347.81850686004,0.58999997,3.28257989883423,2.45668483,1.0,7.761667717672211,0.4637339973642155,1.454555608096208,1.2403099881400417,0.6931471805599453
Congo (the Democratic Republic of the),482.0645684908931,0.463,2.17043995857239,3.96921396,1.0,6.180150326893669,0.38048912203798724,1.1538703664521819,1.6032616706587595,0.6931471805599453
Costa Rica,11529.95517356715,0.79799998,6.87349987030029,7.59196186,3.0,9.352790452292147,0.586674924925958,2.063502673905385,2.150827098743621,1.3862943611198906
Croatia,12071.09095502502,0.84299999,4.96908521652222,6.70067848,7.0,9.398651534798445,0.6113946732617502,1.7865936856003055,2.0413084392635166,2.0794415416798357
